Institution,Specimen,Breed
LACM,22825,Saluki
LACM,30124,English water spaniel
LACM,30126,Fox terrier
LACM,30128,Rough collie
LACM,30129,English bulldog
LACM,30416,German shepherd dog
LACM,30417,English bulldog
LACM,30419,Bull terrier
LACM,30423,Chow chow
LACM,30537,American bulldog
LACM,30539,Borzoi
LACM,30541,Scottish terrier
LACM,30595,Pug
LACM,31092,Irish setter
LACM,31098,Mexican hairless
LACM,92249,pambasileus
LACM,92250,nubilus
LACM,92252,mogollonensis
LACM,92253,mogollonensis
AMNH,77,Bull terrier
AMNH,78,Border collie
AMNH,6284,Gordon setter
AMNH,6285,Italian greyhound
AMNH,10746,Border collie
AMNH,11154,Airedale terrier
AMNH,15837,Borzoi
AMNH,16257,Border collie
AMNH,16258,Border collie
AMNH,16259,Border collie
AMNH,16260,Border collie
AMNH,16261,Border collie
AMNH,16263,Border collie
AMNH,16265,Border collie
AMNH,16266,Border collie
AMNH,17432,Irish setter
AMNH,20868,Pekingese
AMNH,34719,Pekingese
AMNH,35171,Pekingese
AMNH,35564,Great Dane
AMNH,35609,Bulldog
AMNH,35865,Rough collie
AMNH,42899,Newfoundland
AMNH,61588,Pomeranian
AMNH,63770,Chow chow
AMNH,63976,Airedale terrier
AMNH,64000,Irish wolfhound
AMNH,69453,Bulldog
AMNH,69456,Bulldog
AMNH,69465,Newfoundland
AMNH,69467,Newfoundland
AMNH,69468,Newfoundland
AMNH,69469,Newfoundland
AMNH,70118,Bull terrier
AMNH,80022,Irish wolfhound
AMNH,80291,Borzoi
AMNH,90118,Pekingese
AMNH,90154,Irish terrier
AMNH,90155,Irish terrier
AMNH,90210,Chihuahua
AMNH,90212,Scottish terrier
AMNH,90231,Chihuahua
AMNH,90250,Irish wolfhound
AMNH,99663,German shepherd dog
AMNH,99664,German shepherd dog
AMNH,99665,German shepherd dog
AMNH,99666,German shepherd dog
AMNH,99667,Rough collie
AMNH,99669,German shepherd dog
AMNH,99673,Rough collie
AMNH,99679,Rough collie
AMNH,99680,Rough collie
AMNH,100080,Irish wolfhound
AMNH,100128,Irish wolfhound
AMNH,100132,Chihuahua
AMNH,100188,Pekingese
AMNH,100321,English setter
AMNH,100450,Borzoi
AMNH,120450,Saluki
AMNH,132868,Old English sheepdog
AMNH,140219,Doberman pinscher
AMNH,165623,German shepherd dog
AMNH,165673,Afghan hound
AMNH,179936,Pekingese
AMNH,180256,Borzoi
AMNH,189373,Afghan hound
AMNH,204177,Borzoi
AMNH,204218,German shepherd dog
AMNH,204453,Pekingese
AMNH,212877,Affenpinscher
AMNH,228654,Greyhound
AMNH,238447,Borzoi
YPM,2872,Red fox
YPM,3245,Red fox
YPM,4919,Borzoi
YPM,4921,Pointer
YPM,4923,Labrador husky
YPM,4924,Mastiff
YPM,4925,German shepherd dog
YPM,4937,German shepherd dog
YPM,4938,Boston terrier
YPM,4944,Chow chow
YPM,4947,Clumber spaniel
YPM,4949,Bloodhound
YPM,6940,Siberian bloodhound
YPM,6967,Newfoundland
YPM,7251,Great Dane
YPM,7345,Irish wolfhound
YPM,7355,Newfoundland
YPM,7356,Chihuahua
YPM,7471,Saluki
YPM,7975,Collie
YPM,7987,Scottish deerhound
YPM,8002,English foxhound
YPM,8725,Red fox
YPM,9618,Bloodhound
YPM,10435,Bat‐eared fox
YPM,10545,Red fox
YPM,10670,Common gray fox
YPM,10673,Crab-eating fox
YPM,12614,Red fox
YPM,14240,Arctic fox
YPM,14389,Island fox
