Institution,Code,Temporalis Area (mm^2),T Centroid (X),T centroid (Y),Joint (X),Joint (Y),Masseter Area (mm^2),M centroid (X),M centroid (Y),Joint Surface (X),Joint Surface (Y),Length (Lom),Length (Loc),Tiff file Length scalar,Med body weight (kg),Body Size Source (if not AKC),,Lever (T),Lever (M),Raw bite force (canine),Raw Bite Force (Molar),BFQ (canine),BFQ (Carnassial)
LACM,30537,1013.444,118.896,105.201,122.56,125.23,807.095,58.340,96.735,60.70,120.52,56.85,78.229,,18.37,,american bulldog,0.020,0.024,188.84,259.85,75.33,67.77
LACM,30419,1009.529,86.320,88.941,87.24,110.82,698.673,49.441,129.319,46.46,156.05,69.35,116.732,,29.48,,bull terrier,0.022,0.027,129.64,218.21,37.79,41.84
LACM,30423,1520.537,120.400,127.056,120.34,153.69,1228.043,78.210,118.527,77.04,146.92,71.14,110.378,,26.08,,chow chow,0.027,0.028,252.73,392.13,79.92,81.44
LACM,30417,1643.036,118.585,73.199,115.93,98.81,1137.02,42.075,89.914,47.19,116.04,64.45,93.779,,21.55,,english bulldog,0.026,0.027,286.34,416.64,102.77,97.97
LACM,30129,1188.47,95.024,67.444,94.58,91.35,748.222,37.812,84.672,41.58,108.79,62.73,84.613,,21.55,,english bulldog,0.024,0.024,204.13,275.34,73.26,64.74
LACM,30124,637.559,77.546,55.540,77.47,76.52,508.224,35.535,83.389,35.41,101.88,50.86,77.319,,17.01,,english water spaniel*,0.021,0.018,108.98,165.68,45.75,45.43
LACM,30126,586.378,78.526,60.005,77.75,79.84,481.456,37.064,91.184,37.22,109.39,50.25,81.178,,7.48,,fox terrier,0.020,0.018,93.01,150.25,67.29,70.24
LACM,30416,1474.046,106.444,86.835,108.42,116.67,1091.889,44.772,137.301,45.00,165.36,82.57,123.491,,31.07,,german shep,0.030,0.028,223.85,334.79,63.03,62.05
LACM,31092,1002.469,90.873,78.864,90.98,104.46,782.593,65.045,134.506,61.48,159.79,75.39,124.412,,28.12,,irish setter,0.026,0.026,135.74,224.00,40.83,44.30
LACM,31098,715.512,81.740,67.315,80.35,86.15,512.167,40.656,83.630,40.23,101.13,37.77,86.508,,14.52,,mexican hairless,0.019,0.018,96.14,220.21,44.84,66.93
